Item,type
8 vs 2,S
350 vs 305,M-SP-T
206 vs 260,M-SP-T
1002 vs 1020,M-SP-T
11 vs 24,M-SP-no-T
12 vs 22,M-SP-no-T
105 vs 125,M-SP-no-T
201 vs 21,M-DP
1000 vs 100,M-DP
15 vs 5,M-DP
64 vs 604,M-DP
402 vs 42,M-DP
36 vs 306,M-DP
670 vs 67,M-DP
85 vs 850,M-DP
807 vs 78,M-DP
